Id,Prediction
0,88.63665065190646
1,87.82378745956849
2,89.17430975230111
3,86.10738640229562
4,92.93210609355884
5,87.31452089060583
6,92.04743424652722
7,88.34083268680563
8,86.73775759721435
9,88.19356619230639
10,87.35176121703786
11,88.38599339161857
12,90.16250218042583
13,89.36886654439655
14,91.20036371971803
15,80.23655562873832
16,87.8076081195036
17,87.17360303431558
18,88.69028218563976
19,82.01963075302031
20,86.50861595270065
21,88.49851465619089
22,91.91554831663291
23,84.1382137382634
24,91.49802766620036
25,86.29045050955754
26,88.22615072557603
27,93.75310707534393
28,90.03292518225739
29,90.07752811530067
30,86.99376272677465
31,82.42794683427435
32,93.08383281853348
33,85.01088976891405
34,88.4928352030442
35,87.76212560404332
36,87.53533773727315
37,89.04925173113439
38,88.11321847077359
39,87.55183344371048
40,88.51021257462644
41,87.8119833048306
42,88.99184124483028
43,91.93789546481071
44,85.80704481914492
45,90.65392118884537
46,84.6578918263829
47,84.77946428324987
48,87.98256437302481
49,85.80305827958125
50,91.28923564062227
51,88.25649753179495
52,88.97131241408722
53,91.8120894437196
54,86.80540259975052
55,87.34035759242215
56,90.4752099896694
57,86.43360512606147
58,87.80752355916543
59,87.43340654936215
60,87.5991319277919
61,89.02465788028941
62,89.32112933382136
63,86.86355024483721
64,89.19335645286317
65,90.33877761601286
66,87.02844993423908
67,89.54136812133295
68,85.62879273736377
69,87.77188890295923
70,90.28792936565382
71,84.78429564978634
72,90.04824835186753
73,88.24278173592755
74,89.21960085699963
75,87.83395125781149
76,86.32597429587004
77,92.02537655217338
78,87.0081527901941
79,89.63301646679243
80,87.17726792549541
81,88.04545847213238
82,88.74733832430418
83,83.99382623112504
84,92.10464697129912
85,85.71707977338446
86,93.07591466108269
87,87.46229359890299
88,88.48610420512529
89,88.2506486791154
90,87.00824013696632
91,87.03963891361448
92,89.36288009015075
93,87.21992736177944
94,87.82810411230106
95,86.75464483502968
96,88.64883662058544
97,92.09588118935268
98,89.85705797286568
99,92.15166205894195
100,86.25640829897667
101,88.47520051504756
102,91.29614531912726
103,88.76657309077304
104,87.59186806813115
105,88.08630034933717
106,88.292458832824
107,88.33129935611014
108,90.59593362749413
109,88.5394433492322
110,89.4300925779637
111,84.9042323177106
112,94.37288175002821
113,88.9998060159817
114,87.9924576146612
115,88.91829826096539
116,88.81020826707685
117,89.57497118827001
118,86.49806174101089
119,88.38139041059145
120,86.21323084084823
121,85.54231932600919
122,89.57952436131701
123,88.01910118539386
124,92.46018624862526
125,88.5273470182039
126,85.72402052637979
127,87.8449898524018
